timestamp,agent.name,rule.description,rule.level,rule.id
"Jun 9, 2025 @ 19:38:22.696","DESKTOP-O7P9I53","Sysmon - Event 13: RegistryEvent SetValue on HKLM\\SOFTWARE\\Microsoft\\Windows NT\\CurrentVersion\\Perflib\\Last Counter by \\\\?\\C:\\Windows\\system32\\wbem\\WMIADAP.EXE","5","61615"
"Jun 9, 2025 @ 19:38:22.696","DESKTOP-O7P9I53","Sysmon - Event 13: RegistryEvent SetValue on HKLM\\SOFTWARE\\Microsoft\\Windows NT\\CurrentVersion\\Perflib\\Last Help by \\\\?\\C:\\Windows\\system32\\wbem\\WMIADAP.EXE","5","61615"
"Jun 9, 2025 @ 19:38:22.665","DESKTOP-O7P9I53","Sysmon - Event 13: RegistryEvent SetValue on HKLM\\SOFTWARE\\Microsoft\\Windows NT\\CurrentVersion\\Perflib\\Updating by \\\\?\\C:\\Windows\\system32\\wbem\\WMIADAP.EXE","5","61615"
"Jun 9, 2025 @ 19:38:22.665","DESKTOP-O7P9I53","Sysmon - Event 13: RegistryEvent SetValue on HKLM\\System\\CurrentControlSet\\Services\\WmiApRpl\\Performance\\PerfIniFile by \\\\?\\C:\\Windows\\system32\\wbem\\WMIADAP.EXE","5","61615"
"Jun 9, 2025 @ 19:38:22.540","DESKTOP-O7P9I53","Sysmon - Event 13: RegistryEvent SetValue on HKLM\\SOFTWARE\\Microsoft\\Windows NT\\CurrentVersion\\Perflib\\Last Counter by \\\\?\\C:\\Windows\\system32\\wbem\\WMIADAP.EXE","5","61615"
"Jun 9, 2025 @ 19:38:22.540","DESKTOP-O7P9I53","Sysmon - Event 13: RegistryEvent SetValue on HKLM\\SOFTWARE\\Microsoft\\Windows NT\\CurrentVersion\\Perflib\\Last Help by \\\\?\\C:\\Windows\\system32\\wbem\\WMIADAP.EXE","5","61615"
"Jun 9, 2025 @ 19:38:22.525","DESKTOP-O7P9I53","Sysmon - Event 13: RegistryEvent SetValue on HKLM\\SOFTWARE\\Microsoft\\Windows NT\\CurrentVersion\\Perflib\\Updating by \\\\?\\C:\\Windows\\system32\\wbem\\WMIADAP.EXE","5","61615"
"Jun 9, 2025 @ 19:38:08.786","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Microsoft Edge","5","61603"
"Jun 9, 2025 @ 19:38:08.745","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Microsoft Edge","5","61603"
"Jun 9, 2025 @ 19:38:08.745","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Microsoft Edge","5","61603"
